W,"seg3_state2_value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.2","seg3_state3_value__fft_coefficient__attr_""angle""__coeff_76","seg3_state3_value__fft_coefficient__attr_""angle""__coeff_95",seg3_state3_value__ratio_beyond_r_sigma__r_0.5,"seg3_state4_value__fft_coefficient__attr_""angle""__coeff_96","seg4_state1_value__fft_coefficient__attr_""angle""__coeff_28","seg4_state1_value__fft_coefficient__attr_""angle""__coeff_81","seg4_state2_value__fft_coefficient__attr_""angle""__coeff_99","seg4_state3_value__fft_coefficient__attr_""angle""__coeff_44","seg4_state3_value__fft_coefficient__attr_""imag""__coeff_78","seg4_state4_value__fft_coefficient__attr_""angle""__coeff_43","seg4_state4_value__fft_coefficient__attr_""imag""__coeff_51","seg5_state1_value__fft_coefficient__attr_""angle""__coeff_39","seg5_state2_value__fft_coefficient__attr_""angle""__coeff_32","seg5_state3_value__fft_coefficient__attr_""angle""__coeff_91","seg5_state3_value__fft_coefficient__attr_""angle""__coeff_92",seg5_state3_value__sum_of_reoccurring_data_points,seg5_state3_value__sum_of_reoccurring_values,"seg5_state4_value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.6__ql_0.2","seg6_state1_value__fft_coefficient__attr_""angle""__coeff_59",seg6_state2_value__lempel_ziv_complexity__bins_5,"seg6_state3_value__fft_coefficient__attr_""angle""__coeff_18","seg6_state3_value__fft_coefficient__attr_""real""__coeff_48",seg6_state3_value__index_mass_quantile__q_0.8,seg6_state3_value__index_mass_quantile__q_0.9,seg7_state1_value__energy_ratio_by_chunks__num_segments_10__segment_focus_5,"seg7_state1_value__fft_coefficient__attr_""angle""__coeff_22",seg7_state2_value__large_standard_deviation__r_0.1,"seg7_state4_value__fft_coefficient__attr_""angle""__coeff_16","seg7_state4_value__fft_coefficient__attr_""real""__coeff_36","seg8_state1_value__fft_coefficient__attr_""angle""__coeff_17","seg8_state1_value__fft_coefficient__attr_""real""__coeff_0",seg8_state1_value__sum_values,"seg8_state2_value__fft_coefficient__attr_""angle""__coeff_2","seg8_state4_value__fft_coefficient__attr_""angle""__coeff_17","seg8_state4_value__fft_coefficient__attr_""angle""__coeff_36","seg9_state1_value__fft_coefficient__attr_""imag""__coeff_84","seg9_state2_value__fft_coefficient__attr_""angle""__coeff_70","seg9_state3_value__fft_coefficient__attr_""angle""__coeff_57",seg9_state4_value__partial_autocorrelation__lag_7,Class
56,1.7528928992760484e-06,100.22274017333984,73.45355224609375,0.2175,138.3924560546875,146.34158325195312,-132.2305145263672,167.33558654785156,88.02904510498047,0.1309857070446014,86.32689666748047,-0.0014549905899912,51.24795913696289,28.74373817443848,-119.69711303710938,-86.450927734375,-0.0010986328125,-0.0115966796875,-4.589651325659361e-06,-117.9257583618164,0.1260504201680672,-42.5030403137207,-0.0106021752581,0.6746268656716418,0.8664179104477612,0.0354686267673969,136.5424346923828,0.0,-26.532058715820312,-0.0068241716362535,122.63700103759766,-0.043365478515625,-0.043365478515625,-97.72510528564452,-113.12564849853516,134.8109130859375,0.0847291350364685,-81.55670166015625,68.33808898925781,-0.1851378603449039,0
79,-3.150291149722761e-06,71.92442321777344,-30.01653289794922,0.234375,-59.26771545410156,-142.8422393798828,29.69372940063477,-90.73978424072266,63.03084564208984,0.311258852481842,150.05743408203125,0.0179293397814035,-15.741975784301758,-130.2248077392578,134.39622497558594,145.99807739257812,-0.009552001953125,0.007781982421875,-4.048694336233893e-06,25.152463912963867,0.1357843137254901,124.71525573730467,0.1818735152482986,0.8469696969696969,0.8681818181818182,0.0322005599737167,-104.84901428222656,1.0,148.8352508544922,-0.0064540528692305,145.9982147216797,-0.004241943359375,-0.004241943359375,-73.83706665039062,59.43996810913086,156.4928741455078,-0.1316276341676712,-28.40882873535156,-45.10731506347656,0.0195957382635916,1
86,-2.9802322387695312e-06,-56.73773193359375,-107.04739379882812,0.2692307692307692,108.11065673828124,12.360882759094238,80.61395263671875,62.54189682006836,100.30748748779295,-0.0724455043673515,-141.7625732421875,0.0003939011367037,89.43352508544922,151.32899475097656,-130.1006317138672,105.89317321777344,-0.07049560546875,-0.02496337890625,-5.270738867579895e-08,-140.59425354003906,0.0678571428571428,-66.36124420166016,0.0245831124484539,0.5923076923076923,0.8012820512820513,0.090963676571846,-139.8394317626953,0.0,4.651951313018799,-0.0021501637529581,-32.868743896484375,-0.05810546875,-0.05810546875,-94.0352554321289,-126.00801849365234,-151.6476593017578,0.0143533190712332,-8.169970512390137,-169.6601104736328,-0.1097336797345304,0
67,-2.936671990028117e-06,-133.11245727539062,35.43018341064453,0.248314606741573,118.08161163330078,-131.2102508544922,132.93434143066406,67.41490173339844,-173.14491271972656,-0.1367214471101761,122.35812377929688,-0.0035010701976716,15.749521255493164,17.890262603759766,-61.852725982666016,-36.57343292236328,-0.017486572265625,-0.000762939453125,-6.10351571594947e-06,178.26251220703125,0.065983606557377,52.132083892822266,0.0144532900303602,0.8398305084745763,0.9271186440677966,0.1243612393736839,-175.42147827148438,1.0,-103.2305908203125,0.0030477864202111,-154.7041778564453,-0.06585693359375,-0.06585693359375,170.96910095214844,92.21317291259766,39.98158645629883,-0.0149946976453065,-23.02515411376953,-7.661660671234131,-0.1884569455017599,1
84,-6.41029373582569e-07,149.2382049560547,58.01624298095703,0.32,100.95525360107422,-62.0238151550293,-39.0222053527832,-5.615726470947266,-97.1330337524414,0.1441268324851989,-41.85213088989258,-0.0377172343432903,19.520612716674805,110.05398559570312,131.1661376953125,13.864046096801758,0.400634765625,0.183990478515625,-7.054922548377363e-07,-158.15818786621094,0.0392156862745098,148.49819946289062,0.2532596290111542,0.782,0.876,0.0693287551403045,-57.83821487426758,0.0,119.98556518554688,-0.0304552726447582,-130.5843963623047,-0.040802001953125,-0.040802001953125,-32.0791130065918,-40.26115798950195,120.43712615966795,0.4746574461460113,-127.74220275878906,164.71505737304688,-0.2077740645572305,0
55,-3.4245147162437206e-06,-0.0707561001181602,110.67072296142578,0.30078125,80.20311737060547,-159.0214080810547,147.237060546875,-165.29525756835938,-89.59800720214844,0.364762395620346,21.40704917907715,-0.0301267672330141,-123.78273010253906,-18.94475555419922,144.6561737060547,137.2995147705078,-0.082244873046875,-0.04443359375,5.338351911632344e-07,60.13324737548828,0.1394736842105263,-104.07302856445312,-0.1999529898166656,0.771875,0.87890625,0.1145262122154235,-82.11311340332031,0.0,105.77762603759766,-0.012340928427875,82.27267456054688,-0.05560302734375,-0.05560302734375,12.430459022521973,11.65740203857422,171.1273651123047,-0.0588405691087245,-67.7824935913086,-48.82242965698242,-0.0838172962014495,1
64,5.181715891922067e-07,-121.44031524658205,62.682464599609375,0.308974358974359,-179.086181640625,-96.45233154296876,58.92974472045898,22.595338821411133,-160.98162841796875,0.6980882883071899,23.695358276367188,-0.0150475883856415,-33.8909912109375,-115.04450988769533,92.55059051513672,95.92097473144533,-0.53143310546875,-0.20166015625,4.08482264901977e-06,16.495262145996094,0.1069672131147541,132.0177001953125,-0.045294165611267,0.7563291139240507,0.8810126582278481,0.1125514805316925,36.66078186035156,0.0,-158.35577392578125,0.0015272600576281,137.4263916015625,-0.074188232421875,-0.074188232421875,-153.8971710205078,79.33860778808594,116.4005889892578,0.1771066486835479,73.37262725830078,-14.85239028930664,-0.1144668659524383,1
80,-4.044498382427264e-06,137.43453979492188,142.1724395751953,0.3352564102564102,133.64613342285156,-103.0927963256836,142.73593139648438,52.270164489746094,20.705320358276367,0.0869941413402557,-81.27290344238281,-0.1571667045354843,41.63118362426758,27.47881317138672,-133.9016571044922,20.997413635253903,-0.03216552734375,-0.013275146484375,-1.5382844139821827e-05,-40.30226135253906,0.0693181818181818,-19.760103225708008,-0.0741173923015594,0.7917721518987342,0.9056962025316456,0.1167877241969108,151.55691528320312,0.0,91.466796875,0.008522504940629,-168.01034545898438,-0.073883056640625,-0.073883056640625,-32.26939392089844,-176.44873046875,7.187317848205566,0.3758583068847656,-146.0367889404297,10.24685764312744,-0.1057133847781607,0
69,-3.99046803067904e-06,108.86632537841795,34.705623626708984,0.3266666666666666,27.08139610290528,-26.4157943725586,96.53974151611328,133.3535614013672,-148.9045867919922,0.712296724319458,-71.17169952392578,0.005765167530626,-155.07118225097656,71.04454040527344,126.30924224853516,-92.57869720458984,0.43280029296875,0.224151611328125,-3.0892026643414283e-06,-154.2812957763672,0.1012987012987013,-3.700960159301758,0.4047954082489013,0.7811320754716982,0.8433962264150944,0.0950913950800895,-9.90965461730957,0.0,-110.31848907470705,-0.0197037179023027,-127.21219635009766,-0.0299072265625,-0.0299072265625,-123.59242248535156,-72.90647888183594,-83.51604461669922,0.5042595267295837,113.96761322021484,76.63005065917969,-0.1138444958636531,0
66,6.210327228473034e-06,-73.16687774658203,-146.84854125976562,0.3640625,-118.59349060058594,-91.1067123413086,10.99453830718994,-140.9691162109375,11.560688018798828,-0.1876033693552017,-164.54405212402344,-0.0052848849445581,-117.83643341064452,-22.588212966918945,3.718104124069214,-103.7339096069336,-0.18829345703125,-0.050201416015625,4.485292265599128e-06,55.18439483642578,0.118503937007874,83.06460571289062,-0.0036284774541854,0.85,0.9430379746835444,0.2082611918449401,123.99532318115234,0.0,70.90802764892578,0.003911396022886,89.94263458251953,-0.076385498046875,-0.076385498046875,68.26614379882812,17.045249938964844,18.55756187438965,0.15591961145401,-158.8548583984375,80.2518081665039,-0.0278666051873095,1
