participant,segment,rms,zcr,amplitude_range,max_amplitude,min_amplitude,skewness,kurtosis
Participant_BPF_15,9,0.0025664703,0.09271240234375,0.13903809,0.06430054,-0.07473755,-0.8417574763298035,137.96223
Participant_BPF_16,3,0.0033717244,0.088623046875,0.17346191,0.08291626,-0.090545654,-0.14403127133846283,118.479164
Participant_BPF_16,4,0.003809221,0.0923583984375,0.29403687,0.15322876,-0.1408081,0.8501796126365662,244.1778
Participant_BPF_16,5,0.004073982,0.09310302734375,0.29403687,0.15322876,-0.1408081,0.8755108714103699,244.35765
Participant_BPF_16,6,0.0031463695,0.08656005859375,0.057037354,0.02911377,-0.027923584,0.23922663927078247,20.471828
Participant_BPF_16,7,0.00328314,0.08944091796875,0.064331055,0.03173828,-0.032592773,0.24257931113243103,20.792974
Participant_BPF_16,8,0.0032762713,0.09339599609375,0.064331055,0.03173828,-0.032592773,0.23902082443237305,20.447527
Participant_BPF_16,9,0.003137014,0.09168701171875,0.056427002,0.030853271,-0.02557373,0.18310052156448364,19.151133
Participant_BPF_17,3,0.0046214336,0.08565673828125,0.16583252,0.08093262,-0.0848999,0.005190073046833277,43.361897
Participant_BPF_17,4,0.0053348998,0.08619384765625,0.23693848,0.13800049,-0.09893799,0.7201322913169861,79.41429
Participant_BPF_17,5,0.0049346928,0.08714599609375,0.23693848,0.13800049,-0.09893799,1.0853495597839355,88.74601
Participant_BPF_17,6,0.003965084,0.08900146484375,0.07131958,0.038330078,-0.032989502,0.6394780874252319,19.769644
Participant_BPF_17,7,0.0043351715,0.0904296875,0.17837524,0.10449219,-0.07388306,1.0331732034683228,45.60313
Participant_BPF_17,8,0.0045085824,0.0899169921875,0.17837524,0.10449219,-0.07388306,0.9037646651268005,42.872257
Participant_BPF_17,9,0.004049801,0.0906982421875,0.09555054,0.044036865,-0.051513672,0.18843413889408112,23.795338
Participant_BPF_18,3,0.005745824,0.08370361328125,0.13079834,0.050323486,-0.08047485,-0.41675564646720886,16.993313
Participant_BPF_18,4,0.0061933463,0.08839111328125,0.19876099,0.09161377,-0.10714722,-0.6100894808769226,33.120094
Participant_BPF_18,5,0.0054134005,0.0869140625,0.19876099,0.09161377,-0.10714722,-0.5900095105171204,42.7061
Participant_BPF_18,6,0.004299355,0.08321533203125,0.09564209,0.035247803,-0.060394287,-0.540887176990509,14.16474
Participant_BPF_18,7,0.0045447266,0.085205078125,0.09674072,0.036346436,-0.060394287,-0.4790958762168884,14.629152
Participant_BPF_18,8,0.004061847,0.0861572265625,0.080078125,0.036346436,-0.04373169,-0.40548714995384216,13.700758
Participant_BPF_18,9,0.003622537,0.0868896484375,0.07321167,0.035217285,-0.037994385,-0.3599337637424469,16.591805
Participant_BPF_19,3,0.008675003,0.08363037109375,0.27783203,0.16033936,-0.117492676,-0.2560713291168213,44.384182
Participant_BPF_19,4,0.00823844,0.08304443359375,0.26242065,0.13406372,-0.12835693,-0.5518140196800232,44.959793
Participant_BPF_19,5,0.0074845455,0.08204345703125,0.25585938,0.12750244,-0.12835693,-0.979493260383606,50.29048
Participant_BPF_19,6,0.006509608,0.0814697265625,0.22860718,0.11026001,-0.11834717,-0.9537244439125061,47.314102
Participant_BPF_19,7,0.006151792,0.08240966796875,0.15536499,0.07901001,-0.07635498,-0.7780542373657227,32.170845
Participant_BPF_19,8,0.006376383,0.082861328125,0.15637207,0.07901001,-0.07736206,-0.9304760694503784,32.221752
Participant_BPF_19,9,0.006005744,0.08157958984375,0.13323975,0.05368042,-0.079559326,-1.3018343448638916,34.12364
Participant_BPF_20,3,0.002923879,0.11085205078125,0.11199951,0.05331421,-0.058685303,-0.5921481847763062,58.326225
Participant_BPF_20,4,0.0028629466,0.11749267578125,0.11199951,0.05331421,-0.058685303,-0.9367344975471497,73.28615
Participant_BPF_20,5,0.002704278,0.12625732421875,0.14749146,0.058654785,-0.08883667,-2.2182040214538574,144.01288
Participant_BPF_20,6,0.0025782553,0.12391357421875,0.14749146,0.058654785,-0.08883667,-1.9644087553024292,153.83804
Participant_BPF_20,7,0.002069931,0.1220947265625,0.0640564,0.033203125,-0.030853271,0.12753015756607056,39.75091
Participant_BPF_20,8,0.001827864,0.124365234375,0.09075928,0.04095459,-0.049804688,-0.4569782614707947,103.309204
Participant_BPF_20,9,0.0016490512,0.12275390625,0.09075928,0.04095459,-0.049804688,-0.8995208740234375,134.65753
Participant_BPF_21,3,0.0037243715,0.11893310546875,0.13839722,0.0687561,-0.06964111,-0.08997993916273117,49.737144
Participant_BPF_21,4,0.0046464005,0.12529296875,0.31958008,0.13726807,-0.18231201,-1.6637685298919678,184.40843
Participant_BPF_21,5,0.0034903106,0.0927978515625,0.31958008,0.13726807,-0.18231201,-2.352282762527466,278.49786
Participant_BPF_21,6,0.0017008558,0.090478515625,0.062164307,0.027313232,-0.034851074,-0.5057482719421387,33.758713
Participant_BPF_21,7,0.0016897556,0.09410400390625,0.062164307,0.027313232,-0.034851074,-0.7227510213851929,40.30421
Participant_BPF_21,8,0.0014588643,0.093359375,0.040802002,0.01965332,-0.021148682,-0.35984838008880615,30.234692
Participant_BPF_21,9,0.0012877086,0.092919921875,0.04046631,0.01965332,-0.020812988,0.08552853763103485,30.51447
Participant_BPF_22,3,0.0017549753,0.10634765625,0.04928589,0.025543213,-0.023742676,0.5398489832878113,27.532486
Participant_BPF_22,4,0.0018166127,0.10401611328125,0.081329346,0.039764404,-0.04156494,0.2665194272994995,69.231865
Participant_BPF_22,5,0.0019062475,0.10435791015625,0.13693237,0.060577393,-0.07635498,-2.1464309692382812,280.29984
Participant_BPF_22,6,0.0017608751,0.1069580078125,0.13693237,0.060577393,-0.07635498,-2.3879194259643555,333.20966
Participant_BPF_22,7,0.0014387559,0.108203125,0.04812622,0.027679443,-0.020446777,1.1103966236114502,35.7768
Participant_BPF_22,8,0.0012484032,0.1093017578125,0.022583008,0.0115356445,-0.011047363,0.4115816056728363,10.605578
Participant_BPF_22,9,0.0012517537,0.10894775390625,0.025543213,0.014923096,-0.010620117,0.4975038766860962,12.280872
Participant_BPF_23,3,0.003947355,0.09716796875,0.11532593,0.055847168,-0.05947876,-0.11870173364877701,21.802176
Participant_BPF_23,4,0.0036821342,0.10079345703125,0.11532593,0.055847168,-0.05947876,-0.298886775970459,26.667282
Participant_BPF_23,5,0.003420364,0.102392578125,0.07601929,0.03475952,-0.041259766,-0.48683080077171326,20.254915
Participant_BPF_23,6,0.0031204415,0.10103759765625,0.07601929,0.03475952,-0.041259766,-0.3920433223247528,23.095304
Participant_BPF_23,7,0.002949493,0.09940185546875,0.06906128,0.030151367,-0.038909912,-0.31785881519317627,21.805464
Participant_BPF_23,8,0.00270925,0.1023681640625,0.06906128,0.030975342,-0.038085938,-0.1788085699081421,23.27448
Participant_BPF_23,9,0.0024811544,0.10423583984375,0.054748535,0.030975342,-0.023773193,0.058998215943574905,22.732452
Participant_BPF_24,3,0.007105225,0.09630126953125,0.14813232,0.07107544,-0.077056885,-0.42246463894844055,18.315987
Participant_BPF_24,4,0.007012685,0.097802734375,0.15707397,0.07107544,-0.085998535,-0.4500780999660492,21.48466
Participant_BPF_24,5,0.006636288,0.10201416015625,0.15368652,0.06768799,-0.085998535,-0.40743488073349,21.022583
Participant_BPF_24,6,0.0058775283,0.10159912109375,0.12109375,0.06277466,-0.05831909,-0.33875322341918945,16.225475
Participant_BPF_24,7,0.0059598,0.10157470703125,0.2241211,0.116760254,-0.10736084,-0.8539197444915771,46.031998
Participant_BPF_24,8,0.005834262,0.104638671875,0.2241211,0.116760254,-0.10736084,-0.9274861216545105,48.99031
Participant_BPF_24,9,0.00489747,0.1089599609375,0.109313965,0.042877197,-0.06643677,-0.6904035210609436,18.996038
Participant_BPF_25,3,0.007508268,0.08472900390625,0.14468384,0.069000244,-0.075683594,-0.33636143803596497,16.238417
Participant_BPF_25,4,0.00691926,0.08485107421875,0.14013672,0.064453125,-0.075683594,-0.3848334550857544,18.820091
Participant_BPF_25,5,0.0064682243,0.08428955078125,0.12207031,0.064453125,-0.057617188,-0.215511292219162,18.49867
Participant_BPF_25,6,0.006643088,0.0820556640625,0.11846924,0.0513916,-0.06707764,-0.3833545446395874,18.04549
Participant_BPF_25,7,0.00681232,0.08360595703125,0.1645813,0.07772827,-0.08685303,-0.47075003385543823,23.811565
Participant_BPF_25,8,0.006025468,0.083837890625,0.1645813,0.07772827,-0.08685303,-0.6291193962097168,29.442703
Participant_BPF_25,9,0.0060968352,0.085302734375,0.16934204,0.089263916,-0.080078125,-0.394263356924057,32.64415
Participant_BPF_26,3,0.003159631,0.10408935546875,0.137146,0.07180786,-0.065338135,0.7535915374755859,89.299416
Participant_BPF_26,4,0.0028271386,0.1038330078125,0.12564087,0.060943604,-0.064697266,0.6121952533721924,105.303764
Participant_BPF_26,5,0.002588825,0.10562744140625,0.12564087,0.060943604,-0.064697266,0.5039822459220886,126.67668
Participant_BPF_26,6,0.0018680226,0.1073974609375,0.096221924,0.0496521,-0.046569824,0.03473683446645737,108.35777
Participant_BPF_26,7,0.0019862163,0.108056640625,0.07321167,0.041992188,-0.031219482,0.5162912607192993,48.521866
Participant_BPF_26,8,0.0022349383,0.10712890625,0.08468628,0.046722412,-0.037963867,1.145019292831421,60.684532
Participant_BPF_26,9,0.0020033487,0.10557861328125,0.08468628,0.046722412,-0.037963867,0.9841435551643372,66.915474
Participant_BPF_27,3,0.002840183,0.10244140625,0.1678772,0.074279785,-0.09359741,-0.652618944644928,177.02579
Participant_BPF_27,4,0.0023087997,0.10078125,0.085113525,0.038909912,-0.046203613,-0.4626176655292511,43.986862
Participant_BPF_27,5,0.0021916828,0.10023193359375,0.085113525,0.038909912,-0.046203613,-0.05280226841568947,53.728104
Participant_BPF_27,6,0.0020888525,0.10255126953125,0.07064819,0.03552246,-0.035125732,0.29607030749320984,32.753105
Participant_BPF_27,7,0.0018007249,0.10438232421875,0.045837402,0.021728516,-0.024108887,0.01635630428791046,17.706867
Participant_BPF_27,8,0.0021781411,0.10430908203125,0.07757568,0.039886475,-0.03768921,-0.08740473538637161,57.67249
Participant_BPF_27,9,0.0024572867,0.10633544921875,0.11178589,0.053863525,-0.057922363,-0.22413939237594604,83.72295
Participant_BPF_28,3,0.005919519,0.08216552734375,0.15939331,0.07751465,-0.08187866,-0.29180851578712463,31.67958
Participant_BPF_28,4,0.0053581446,0.0857177734375,0.15042114,0.06854248,-0.08187866,-0.5838649868965149,28.83329
Participant_BPF_28,5,0.004493393,0.084619140625,0.18200684,0.07940674,-0.1026001,-1.2425906658172607,52.26283
Participant_BPF_28,6,0.0046155243,0.08453369140625,0.18200684,0.07940674,-0.1026001,-1.1292859315872192,49.861774
Participant_BPF_28,7,0.005029873,0.08399658203125,0.14660645,0.0770874,-0.06951904,-0.5330578088760376,23.565598
Participant_BPF_28,8,0.0058078496,0.08443603515625,0.16821289,0.09295654,-0.07525635,-0.3469383418560028,26.747955
Participant_BPF_28,9,0.0055877543,0.08526611328125,0.18035889,0.10510254,-0.07525635,0.4843422472476959,39.851254
Participant_BPF_29,3,0.0034723133,0.08001708984375,0.10015869,0.043640137,-0.056518555,-0.22631032764911652,20.171867
Participant_BPF_29,4,0.0033456099,0.0805419921875,0.10015869,0.043640137,-0.056518555,-0.2278154045343399,21.81156
Participant_BPF_29,5,0.0026962226,0.0808837890625,0.03503418,0.018463135,-0.016571045,0.006272064056247473,4.1533437
Participant_BPF_29,6,0.002855975,0.08238525390625,0.07546997,0.046722412,-0.028747559,0.365957111120224,15.797609
Participant_BPF_29,7,0.0030096078,0.08463134765625,0.07546997,0.046722412,-0.028747559,0.253900945186615,16.132183
Participant_BPF_29,8,0.0029501063,0.08814697265625,0.06188965,0.032043457,-0.029846191,0.09633570909500122,14.661772
Participant_BPF_29,9,0.0041720313,0.08720703125,0.19036865,0.07476807,-0.115600586,-1.4687058925628662,100.81442
Participant_BPF_30,3,0.00472417,0.10579833984375,0.13995361,0.06048584,-0.07946777,-0.38761213421821594,31.044544
Participant_BPF_30,4,0.0043686177,0.10399169921875,0.13995361,0.06048584,-0.07946777,-0.33761361241340637,34.027218
Participant_BPF_30,5,0.0035881654,0.1017822265625,0.14611816,0.06994629,-0.076171875,-0.4400893747806549,65.17989
Participant_BPF_30,6,0.0034446276,0.100244140625,0.14611816,0.06994629,-0.076171875,-0.7380160093307495,74.8609
Participant_BPF_30,7,0.0026341765,0.09993896484375,0.059906006,0.026824951,-0.033081055,-0.9090215563774109,24.548
Participant_BPF_30,8,0.0029843058,0.09891357421875,0.071899414,0.038360596,-0.03353882,-0.46067893505096436,25.895475
