participant,segment,spectral_centroid,spectral_bandwidth,spectral_rolloff,spectral_flatness,spectrum_skewness,spectrum_kurtosis
Participant_BPF_05,9,143.0167070677441,87.02461070942387,218.505859375,0.0008267712,1.8341352939605713,2.7079954
Participant_BPF_06,3,143.687467670829,98.58148985541484,225.6103515625,0.001686066,3.2189271450042725,12.885224
Participant_BPF_06,4,144.76133906160925,94.22297612541084,221.728515625,0.001498198,3.137726306915283,11.593915
Participant_BPF_06,5,143.38090457772284,92.05720990485227,213.1103515625,0.0015078995,3.218264579772949,12.000707
Participant_BPF_06,6,138.8243807371768,96.10438406780754,202.001953125,0.0020729522,3.4616518020629883,13.712431
Participant_BPF_06,7,137.62286729062515,99.04891154251861,201.66015625,0.0019549653,3.4567441940307617,13.888992
Participant_BPF_06,8,141.393028248165,104.67451795240872,212.158203125,0.0035362788,3.448073625564575,14.553921
Participant_BPF_06,9,135.46610018444204,99.94090343998705,203.61328125,0.0018204382,3.5964515209198,16.259884
Participant_BPF_07,3,132.56421672102925,84.55236395073162,198.876953125,0.0008356492,2.6944963932037354,7.425235
Participant_BPF_07,4,135.56323257201362,87.33784717673883,202.587890625,0.0009242571,2.591905117034912,6.636855
Participant_BPF_07,5,134.27794527869645,85.9418348804619,201.8310546875,0.00073959853,2.959357500076294,9.617971
Participant_BPF_07,6,137.81067160822323,84.05777829679661,208.69140625,0.00067032606,2.921478748321533,9.347724
Participant_BPF_07,7,136.9784283280231,84.55183908585154,206.8359375,0.0007733471,2.8494608402252197,8.645498
Participant_BPF_07,8,134.69970404857585,85.50198645135019,201.0986328125,0.0009281888,2.898332357406616,8.7610655
Participant_BPF_07,9,137.7039633786987,87.71056956673438,207.470703125,0.0035287086,2.9852092266082764,9.539416
Participant_BPF_08,3,124.6733839419001,72.63385359970785,188.9892578125,0.0002709134,3.2169029712677,11.9502735
Participant_BPF_08,4,124.46487651869556,78.76388433650732,189.208984375,0.0014364601,3.544210433959961,15.123722
Participant_BPF_08,5,121.03053713012287,74.32078785932285,183.740234375,0.00031406054,3.817122220993042,18.035069
Participant_BPF_08,6,125.63965662902949,83.3447508615403,194.8486328125,0.0027600536,4.239789009094238,21.5256
Participant_BPF_08,7,124.39645854053302,80.12741390568968,190.0390625,0.00048113737,4.315832614898682,23.146774
Participant_BPF_08,8,127.0882528619226,81.71576096376499,193.603515625,0.0007562124,4.175668716430664,21.61635
Participant_BPF_08,9,126.09983717658142,81.43032022518926,194.5556640625,0.0005106269,4.345169544219971,24.554844
Participant_BPF_09,3,129.34987265377347,92.08593149674562,195.5078125,0.0024374372,2.9719715118408203,10.189059
Participant_BPF_09,4,124.01307772691572,88.30638387802011,184.2041015625,0.0007722616,2.8717777729034424,9.558431
Participant_BPF_09,5,128.97587443587292,87.11613601579081,192.4560546875,0.00082085934,3.005296230316162,10.832996
Participant_BPF_09,6,122.81001153075135,88.50708387266124,186.4013671875,0.00085905736,4.099997520446777,23.825445
Participant_BPF_09,7,118.85597600710003,91.74415388823807,177.490234375,0.0012130181,4.2394633293151855,25.385202
Participant_BPF_09,8,121.87846478922945,90.20503350017847,182.2998046875,0.0014329756,3.0318400859832764,11.00441
Participant_BPF_09,9,123.65374521870551,92.35739119925863,183.49609375,0.0011225289,3.058905601501465,10.583261
Participant_BPF_10,3,155.42870189487275,84.41614028964364,225.048828125,0.0010611166,2.624891519546509,6.978607
Participant_BPF_10,4,155.1133726873711,87.91757297770154,226.5869140625,0.0013663946,2.51314115524292,6.423065
Participant_BPF_10,5,155.86989934555055,89.56035401856764,229.1259765625,0.0017806325,2.422271966934204,5.6483192
Participant_BPF_10,6,148.8011240940567,89.77314512232003,220.21484375,0.0013629842,2.613560199737549,7.3289824
Participant_BPF_10,7,146.29929068449843,88.7688119067636,216.4794921875,0.0013060288,2.6825735569000244,7.891882
Participant_BPF_10,8,153.24713111921858,85.71151048816668,225.5126953125,0.00093518913,2.4904725551605225,6.2420406
Participant_BPF_10,9,155.03922188355355,89.25206667623574,227.783203125,0.0016917309,2.5490972995758057,6.7604094
Participant_BPF_11,3,143.3365207483621,100.84824781104662,205.7373046875,0.0019543213,3.2477245330810547,11.171435
Participant_BPF_11,4,139.8715447485485,105.07013517445016,202.4658203125,0.0020680996,3.35817813873291,11.710804
Participant_BPF_11,5,140.83051545453367,108.59036413677241,203.759765625,0.0021758722,3.3955249786376953,12.160458
Participant_BPF_11,6,148.52674577292515,116.42109365270217,227.1728515625,0.0027713608,3.4029719829559326,12.876516
Participant_BPF_11,7,149.56411399688676,124.98704877144132,241.0400390625,0.0035488778,3.924341917037964,19.459002
Participant_BPF_11,8,147.28507387087788,130.82081661747003,240.625,0.004100154,4.306074142456055,22.66787
Participant_BPF_11,9,149.8931609260047,139.5127111942052,242.0166015625,0.0068794964,4.455840110778809,26.020367
Participant_BPF_12,3,155.4015958083075,90.11721315582028,232.470703125,0.0017244637,2.5342578887939453,6.7130156
Participant_BPF_12,4,156.8836785225881,85.99456187293467,233.7646484375,0.00091611146,2.4681284427642822,6.2145014
Participant_BPF_12,5,160.63509042504455,89.4335812507909,238.0615234375,0.0012832511,2.3561244010925293,5.6901073
Participant_BPF_12,6,163.37412845469288,90.08600081636291,240.478515625,0.0012805196,2.330430507659912,5.367154
Participant_BPF_12,7,165.90739278809158,88.5901004057313,242.7978515625,0.0011172917,2.8859002590179443,10.99577
Participant_BPF_12,8,160.25803379008568,90.85845599898349,238.818359375,0.0012040015,3.273500442504883,15.631466
Participant_BPF_12,9,154.74163030291692,93.4452627430745,232.1533203125,0.0015083425,2.4068102836608887,5.8391666
Participant_BPF_13,3,134.63799069255143,95.29181410124485,195.41015625,0.00130597,3.3964853286743164,13.24753
Participant_BPF_13,4,134.47527629996858,99.1741745026051,196.337890625,0.0014641716,3.504021644592285,14.875679
Participant_BPF_13,5,134.23650115760697,102.56210679174733,200.732421875,0.0014891531,3.3172755241394043,13.117229
Participant_BPF_13,6,135.13481750901957,102.5532640640793,201.4892578125,0.0015023642,3.330970287322998,13.704008
